Severity,Line,Rule,Description,Suggestion,Line Content
MEDIUM,1,Dockerfile instructions,Follow these recommendations on how to properly use the Dockerfile instructions to create an efficient and maintainable Dockerfile.,Use Dockerfile instructions according to best practices.,FROM ubuntu:latest
HIGH,1,FROM,"Whenever possible, use current official images as the basis for your images.",Use official images as your base images.,FROM ubuntu:latest
MEDIUM,1,WORKDIR,"For clarity and reliability, you should always use absolute paths for your WORKDIR.","Use absolute paths with WORKDIR (e.g., WORKDIR /app).",FROM ubuntu:latest
HIGH,2,Use multi-stage builds,"Multi-stage builds let you reduce the size of your final image, by creating a cleaner separation between the building of your image and the final output.",Consider using multi-stage builds to reduce final image size.,FROM python:3.9 AS builder
HIGH,2,Create reusable stages,Reusing stages for common dependencies improves efficiency and reduces redundant builds.,Use named build stages to enhance modularity and reusability.,FROM python:3.9 AS builder
MEDIUM,2,Dockerfile instructions,Follow these recommendations on how to properly use the Dockerfile instructions to create an efficient and maintainable Dockerfile.,Use Dockerfile instructions according to best practices.,FROM python:3.9 AS builder
HIGH,2,FROM,"Whenever possible, use current official images as the basis for your images.",Use official images as your base images.,FROM python:3.9 AS builder
MEDIUM,2,WORKDIR,"For clarity and reliability, you should always use absolute paths for your WORKDIR.","Use absolute paths with WORKDIR (e.g., WORKDIR /app).",FROM python:3.9 AS builder
MEDIUM,4,Dockerfile instructions,Follow these recommendations on how to properly use the Dockerfile instructions to create an efficient and maintainable Dockerfile.,Use Dockerfile instructions according to best practices.,RUN apt-get update
MEDIUM,4,RUN,"Split long or complex RUN statements on multiple lines separated with backslashes to make your Dockerfile more readable, understandable, and maintainable.",Use multi-line RUN instructions with backslash continuations for complex commands.,RUN apt-get update
MEDIUM,4,WORKDIR,"For clarity and reliability, you should always use absolute paths for your WORKDIR.","Use absolute paths with WORKDIR (e.g., WORKDIR /app).",RUN apt-get update
MEDIUM,5,Don't install unnecessary packages,Avoid installing extra or unnecessary packages just because they might be nice to have.,Install only what is needed for your application to run.,RUN apt-get install -y python3
MEDIUM,5,Decouple applications,Each container should have only one concern.,"Split complex applications into multiple containers, each with a single responsibility.",RUN apt-get install -y python3
LOW,5,Build and test your images in CI,"When you check in a change to source control or create a pull request, use GitHub Actions or another CI/CD pipeline to automatically build and tag a Docker image and test it.",Implement CI/CD pipelines for automated building and testing of your Docker images.,RUN apt-get install -y python3
MEDIUM,5,Dockerfile instructions,Follow these recommendations on how to properly use the Dockerfile instructions to create an efficient and maintainable Dockerfile.,Use Dockerfile instructions according to best practices.,RUN apt-get install -y python3
MEDIUM,5,RUN,"Split long or complex RUN statements on multiple lines separated with backslashes to make your Dockerfile more readable, understandable, and maintainable.",Use multi-line RUN instructions with backslash continuations for complex commands.,RUN apt-get install -y python3
CRITICAL,5,USER,"If a service can run without privileges, use USER to change to a non-root user.",Run containers as non-root users whenever possible.,RUN apt-get install -y python3
MEDIUM,5,WORKDIR,"For clarity and reliability, you should always use absolute paths for your WORKDIR.","Use absolute paths with WORKDIR (e.g., WORKDIR /app).",RUN apt-get install -y python3
MEDIUM,6,Don't install unnecessary packages,Avoid installing extra or unnecessary packages just because they might be nice to have.,Install only what is needed for your application to run.,RUN apt-get install -y vim nano curl wget
MEDIUM,6,Decouple applications,Each container should have only one concern.,"Split complex applications into multiple containers, each with a single responsibility.",RUN apt-get install -y vim nano curl wget
LOW,6,Build and test your images in CI,"When you check in a change to source control or create a pull request, use GitHub Actions or another CI/CD pipeline to automatically build and tag a Docker image and test it.",Implement CI/CD pipelines for automated building and testing of your Docker images.,RUN apt-get install -y vim nano curl wget
MEDIUM,6,Dockerfile instructions,Follow these recommendations on how to properly use the Dockerfile instructions to create an efficient and maintainable Dockerfile.,Use Dockerfile instructions according to best practices.,RUN apt-get install -y vim nano curl wget
MEDIUM,6,RUN,"Split long or complex RUN statements on multiple lines separated with backslashes to make your Dockerfile more readable, understandable, and maintainable.",Use multi-line RUN instructions with backslash continuations for complex commands.,RUN apt-get install -y vim nano curl wget
CRITICAL,6,USER,"If a service can run without privileges, use USER to change to a non-root user.",Run containers as non-root users whenever possible.,RUN apt-get install -y vim nano curl wget
MEDIUM,6,WORKDIR,"For clarity and reliability, you should always use absolute paths for your WORKDIR.","Use absolute paths with WORKDIR (e.g., WORKDIR /app).",RUN apt-get install -y vim nano curl wget
MEDIUM,7,Don't install unnecessary packages,Avoid installing extra or unnecessary packages just because they might be nice to have.,Install only what is needed for your application to run.,RUN apt-get install -y nginx
MEDIUM,7,Decouple applications,Each container should have only one concern.,"Split complex applications into multiple containers, each with a single responsibility.",RUN apt-get install -y nginx
LOW,7,Build and test your images in CI,"When you check in a change to source control or create a pull request, use GitHub Actions or another CI/CD pipeline to automatically build and tag a Docker image and test it.",Implement CI/CD pipelines for automated building and testing of your Docker images.,RUN apt-get install -y nginx
MEDIUM,7,Dockerfile instructions,Follow these recommendations on how to properly use the Dockerfile instructions to create an efficient and maintainable Dockerfile.,Use Dockerfile instructions according to best practices.,RUN apt-get install -y nginx
MEDIUM,7,RUN,"Split long or complex RUN statements on multiple lines separated with backslashes to make your Dockerfile more readable, understandable, and maintainable.",Use multi-line RUN instructions with backslash continuations for complex commands.,RUN apt-get install -y nginx
CRITICAL,7,USER,"If a service can run without privileges, use USER to change to a non-root user.",Run containers as non-root users whenever possible.,RUN apt-get install -y nginx
MEDIUM,7,WORKDIR,"For clarity and reliability, you should always use absolute paths for your WORKDIR.","Use absolute paths with WORKDIR (e.g., WORKDIR /app).",RUN apt-get install -y nginx
MEDIUM,9,Dockerfile instructions,Follow these recommendations on how to properly use the Dockerfile instructions to create an efficient and maintainable Dockerfile.,Use Dockerfile instructions according to best practices.,ADD . /app
MEDIUM,9,ADD or COPY,ADD and COPY are functionally similar.,Prefer COPY over ADD unless you specifically need ADD's tar extraction or URL download capabilities.,ADD . /app
MEDIUM,9,WORKDIR,"For clarity and reliability, you should always use absolute paths for your WORKDIR.","Use absolute paths with WORKDIR (e.g., WORKDIR /app).",ADD . /app
MEDIUM,10,Don't install unnecessary packages,Avoid installing extra or unnecessary packages just because they might be nice to have.,Install only what is needed for your application to run.,RUN apt-get install -y redis-server
MEDIUM,10,Decouple applications,Each container should have only one concern.,"Split complex applications into multiple containers, each with a single responsibility.",RUN apt-get install -y redis-server
LOW,10,Build and test your images in CI,"When you check in a change to source control or create a pull request, use GitHub Actions or another CI/CD pipeline to automatically build and tag a Docker image and test it.",Implement CI/CD pipelines for automated building and testing of your Docker images.,RUN apt-get install -y redis-server
MEDIUM,10,Dockerfile instructions,Follow these recommendations on how to properly use the Dockerfile instructions to create an efficient and maintainable Dockerfile.,Use Dockerfile instructions according to best practices.,RUN apt-get install -y redis-server
MEDIUM,10,RUN,"Split long or complex RUN statements on multiple lines separated with backslashes to make your Dockerfile more readable, understandable, and maintainable.",Use multi-line RUN instructions with backslash continuations for complex commands.,RUN apt-get install -y redis-server
CRITICAL,10,USER,"If a service can run without privileges, use USER to change to a non-root user.",Run containers as non-root users whenever possible.,RUN apt-get install -y redis-server
MEDIUM,10,WORKDIR,"For clarity and reliability, you should always use absolute paths for your WORKDIR.","Use absolute paths with WORKDIR (e.g., WORKDIR /app).",RUN apt-get install -y redis-server
MEDIUM,12,Don't install unnecessary packages,Avoid installing extra or unnecessary packages just because they might be nice to have.,Install only what is needed for your application to run.,RUN apt-get install -y postgresql
MEDIUM,12,Decouple applications,Each container should have only one concern.,"Split complex applications into multiple containers, each with a single responsibility.",RUN apt-get install -y postgresql
LOW,12,Build and test your images in CI,"When you check in a change to source control or create a pull request, use GitHub Actions or another CI/CD pipeline to automatically build and tag a Docker image and test it.",Implement CI/CD pipelines for automated building and testing of your Docker images.,RUN apt-get install -y postgresql
MEDIUM,12,Dockerfile instructions,Follow these recommendations on how to properly use the Dockerfile instructions to create an efficient and maintainable Dockerfile.,Use Dockerfile instructions according to best practices.,RUN apt-get install -y postgresql
MEDIUM,12,RUN,"Split long or complex RUN statements on multiple lines separated with backslashes to make your Dockerfile more readable, understandable, and maintainable.",Use multi-line RUN instructions with backslash continuations for complex commands.,RUN apt-get install -y postgresql
CRITICAL,12,USER,"If a service can run without privileges, use USER to change to a non-root user.",Run containers as non-root users whenever possible.,RUN apt-get install -y postgresql
MEDIUM,12,WORKDIR,"For clarity and reliability, you should always use absolute paths for your WORKDIR.","Use absolute paths with WORKDIR (e.g., WORKDIR /app).",RUN apt-get install -y postgresql
MEDIUM,14,Dockerfile instructions,Follow these recommendations on how to properly use the Dockerfile instructions to create an efficient and maintainable Dockerfile.,Use Dockerfile instructions according to best practices.,RUN mkdir -p /var/log/myapp
MEDIUM,14,RUN,"Split long or complex RUN statements on multiple lines separated with backslashes to make your Dockerfile more readable, understandable, and maintainable.",Use multi-line RUN instructions with backslash continuations for complex commands.,RUN mkdir -p /var/log/myapp
MEDIUM,14,WORKDIR,"For clarity and reliability, you should always use absolute paths for your WORKDIR.","Use absolute paths with WORKDIR (e.g., WORKDIR /app).",RUN mkdir -p /var/log/myapp
MEDIUM,15,Dockerfile instructions,Follow these recommendations on how to properly use the Dockerfile instructions to create an efficient and maintainable Dockerfile.,Use Dockerfile instructions according to best practices.,"RUN echo ""log data"" > /var/log/app.log"
MEDIUM,15,RUN,"Split long or complex RUN statements on multiple lines separated with backslashes to make your Dockerfile more readable, understandable, and maintainable.",Use multi-line RUN instructions with backslash continuations for complex commands.,"RUN echo ""log data"" > /var/log/app.log"
MEDIUM,15,WORKDIR,"For clarity and reliability, you should always use absolute paths for your WORKDIR.","Use absolute paths with WORKDIR (e.g., WORKDIR /app).","RUN echo ""log data"" > /var/log/app.log"
MEDIUM,17,Dockerfile instructions,Follow these recommendations on how to properly use the Dockerfile instructions to create an efficient and maintainable Dockerfile.,Use Dockerfile instructions according to best practices.,WORKDIR app
MEDIUM,17,WORKDIR,"For clarity and reliability, you should always use absolute paths for your WORKDIR.","Use absolute paths with WORKDIR (e.g., WORKDIR /app).",WORKDIR app
MEDIUM,19,Dockerfile instructions,Follow these recommendations on how to properly use the Dockerfile instructions to create an efficient and maintainable Dockerfile.,Use Dockerfile instructions according to best practices.,COPY .git /app/.git
MEDIUM,19,ADD or COPY,ADD and COPY are functionally similar.,Prefer COPY over ADD unless you specifically need ADD's tar extraction or URL download capabilities.,COPY .git /app/.git
MEDIUM,19,WORKDIR,"For clarity and reliability, you should always use absolute paths for your WORKDIR.","Use absolute paths with WORKDIR (e.g., WORKDIR /app).",COPY .git /app/.git
MEDIUM,20,Dockerfile instructions,Follow these recommendations on how to properly use the Dockerfile instructions to create an efficient and maintainable Dockerfile.,Use Dockerfile instructions according to best practices.,COPY README.md /app/
MEDIUM,20,ADD or COPY,ADD and COPY are functionally similar.,Prefer COPY over ADD unless you specifically need ADD's tar extraction or URL download capabilities.,COPY README.md /app/
MEDIUM,20,WORKDIR,"For clarity and reliability, you should always use absolute paths for your WORKDIR.","Use absolute paths with WORKDIR (e.g., WORKDIR /app).",COPY README.md /app/
MEDIUM,21,Dockerfile instructions,Follow these recommendations on how to properly use the Dockerfile instructions to create an efficient and maintainable Dockerfile.,Use Dockerfile instructions according to best practices.,COPY node_modules /app/node_modules
MEDIUM,21,ADD or COPY,ADD and COPY are functionally similar.,Prefer COPY over ADD unless you specifically need ADD's tar extraction or URL download capabilities.,COPY node_modules /app/node_modules
MEDIUM,21,WORKDIR,"For clarity and reliability, you should always use absolute paths for your WORKDIR.","Use absolute paths with WORKDIR (e.g., WORKDIR /app).",COPY node_modules /app/node_modules
MEDIUM,23,Dockerfile instructions,Follow these recommendations on how to properly use the Dockerfile instructions to create an efficient and maintainable Dockerfile.,Use Dockerfile instructions according to best practices.,"CMD [""sh"", ""-c"", ""nginx & python3 app.py""]"
LOW,23,CMD,"The CMD instruction should be used to run the software contained in your image, along with any arguments.",Use CMD to define the default command for your container.,"CMD [""sh"", ""-c"", ""nginx & python3 app.py""]"
MEDIUM,25,Don't install unnecessary packages,Avoid installing extra or unnecessary packages just because they might be nice to have.,Install only what is needed for your application to run.,RUN apt-get install -y redis-server
MEDIUM,25,Decouple applications,Each container should have only one concern.,"Split complex applications into multiple containers, each with a single responsibility.",RUN apt-get install -y redis-server
LOW,25,Build and test your images in CI,"When you check in a change to source control or create a pull request, use GitHub Actions or another CI/CD pipeline to automatically build and tag a Docker image and test it.",Implement CI/CD pipelines for automated building and testing of your Docker images.,RUN apt-get install -y redis-server
MEDIUM,25,Dockerfile instructions,Follow these recommendations on how to properly use the Dockerfile instructions to create an efficient and maintainable Dockerfile.,Use Dockerfile instructions according to best practices.,RUN apt-get install -y redis-server
MEDIUM,25,RUN,"Split long or complex RUN statements on multiple lines separated with backslashes to make your Dockerfile more readable, understandable, and maintainable.",Use multi-line RUN instructions with backslash continuations for complex commands.,RUN apt-get install -y redis-server
CRITICAL,25,USER,"If a service can run without privileges, use USER to change to a non-root user.",Run containers as non-root users whenever possible.,RUN apt-get install -y redis-server
MEDIUM,25,WORKDIR,"For clarity and reliability, you should always use absolute paths for your WORKDIR.","Use absolute paths with WORKDIR (e.g., WORKDIR /app).",RUN apt-get install -y redis-server
MEDIUM,27,Dockerfile instructions,Follow these recommendations on how to properly use the Dockerfile instructions to create an efficient and maintainable Dockerfile.,Use Dockerfile instructions according to best practices.,EXPOSE 22
LOW,27,EXPOSE,The EXPOSE instruction indicates the ports on which a container listens for connections.,Use EXPOSE to document which ports your application uses.,EXPOSE 22
MEDIUM,27,WORKDIR,"For clarity and reliability, you should always use absolute paths for your WORKDIR.","Use absolute paths with WORKDIR (e.g., WORKDIR /app).",EXPOSE 22
MEDIUM,28,Dockerfile instructions,Follow these recommendations on how to properly use the Dockerfile instructions to create an efficient and maintainable Dockerfile.,Use Dockerfile instructions according to best practices.,EXPOSE 80
LOW,28,EXPOSE,The EXPOSE instruction indicates the ports on which a container listens for connections.,Use EXPOSE to document which ports your application uses.,EXPOSE 80
MEDIUM,28,WORKDIR,"For clarity and reliability, you should always use absolute paths for your WORKDIR.","Use absolute paths with WORKDIR (e.g., WORKDIR /app).",EXPOSE 80
MEDIUM,29,Dockerfile instructions,Follow these recommendations on how to properly use the Dockerfile instructions to create an efficient and maintainable Dockerfile.,Use Dockerfile instructions according to best practices.,EXPOSE 3389
LOW,29,EXPOSE,The EXPOSE instruction indicates the ports on which a container listens for connections.,Use EXPOSE to document which ports your application uses.,EXPOSE 3389
MEDIUM,29,WORKDIR,"For clarity and reliability, you should always use absolute paths for your WORKDIR.","Use absolute paths with WORKDIR (e.g., WORKDIR /app).",EXPOSE 3389
MEDIUM,31,Dockerfile instructions,Follow these recommendations on how to properly use the Dockerfile instructions to create an efficient and maintainable Dockerfile.,Use Dockerfile instructions according to best practices.,ENV DEBUG=
LOW,31,ENV,"To make new software easier to run, you can use ENV to update the PATH environment variable for the software your container installs.",Use ENV to set environment variables required by your application.,ENV DEBUG=
MEDIUM,31,WORKDIR,"For clarity and reliability, you should always use absolute paths for your WORKDIR.","Use absolute paths with WORKDIR (e.g., WORKDIR /app).",ENV DEBUG=
MEDIUM,32,Dockerfile instructions,Follow these recommendations on how to properly use the Dockerfile instructions to create an efficient and maintainable Dockerfile.,Use Dockerfile instructions according to best practices.,ENV APP_VERSION
MEDIUM,32,WORKDIR,"For clarity and reliability, you should always use absolute paths for your WORKDIR.","Use absolute paths with WORKDIR (e.g., WORKDIR /app).",ENV APP_VERSION
MEDIUM,34,Dockerfile instructions,Follow these recommendations on how to properly use the Dockerfile instructions to create an efficient and maintainable Dockerfile.,Use Dockerfile instructions according to best practices.,RUN cd /app && \
MEDIUM,35,WORKDIR,"For clarity and reliability, you should always use absolute paths for your WORKDIR.","Use absolute paths with WORKDIR (e.g., WORKDIR /app).",    mkdir temp 
